日期,昨日涨跌幅,开盘涨幅,入场价,入场原因,代码,收益_1日,收益_3日,收益_5日,收益_10日,涨跌幅区间
2026-05-07,4.223433242506802,0.9150326797385588,38.6,昨日涨跌幅+4.22%，符合2%-7%区间,000063,-0.07,-1.6,-2.97,-10.05,4%~5%
2026-05-19,2.17924271315717,-0.15995734470806156,37.45,昨日涨跌幅+2.18%，符合2%-7%区间,000063,-1.0,-5.11,-5.38,-3.35,2%~3%
2026-05-25,2.3255813953488413,0.5892255892255838,35.85,昨日涨跌幅+2.33%，符合2%-7%区间,000063,-1.14,6.55,-2.37,8.87,2%~3%
2024-01-22,2.181208053691264,0.041050903119876914,24.37,昨日涨跌幅+2.18%，符合2%-7%区间,002138,-4.88,1.4,-4.47,-4.88,2%~3%
2024-01-26,5.716723549488045,0.0,24.78,昨日涨跌幅+5.72%，符合2%-7%区间,002138,-6.05,-10.73,-12.1,4.28,5%~7%
2024-02-06,6.407322654462244,-1.4193548387096744,22.92,昨日涨跌幅+6.41%，符合2%-7%区间,002138,15.91,12.77,11.33,16.12,5%~7%
2024-02-08,5.968961400716277,0.037551633496057946,26.64,昨日涨跌幅+5.97%，符合2%-7%区间,002138,-3.02,-4.26,-1.67,2.2,5%~7%
2024-02-28,3.256704980842895,-0.18552875695733162,26.9,昨日涨跌幅+3.26%，符合2%-7%区间,002138,1.69,2.55,1.5,4.4,3%~4%
2024-03-01,2.8110944527736104,0.25519504192490494,27.5,昨日涨跌幅+2.81%，符合2%-7%区间,002138,0.3,-0.72,0.08,2.96,2%~3%
2024-04-01,3.011583011583019,0.8245877061469287,26.9,昨日涨跌幅+3.01%，符合2%-7%区间,002138,-1.4,-3.7,-5.3,-6.49,3%~4%
2024-04-02,2.2113943028485794,-0.990099009900991,27.0,昨日涨跌幅+2.21%，符合2%-7%区间,002138,-3.09,-3.87,-5.65,-8.5,2%~3%
2024-04-16,3.8262255878836138,0.499040307101728,26.18,昨日涨跌幅+3.83%，符合2%-7%区间,002138,-3.91,-6.24,-7.65,-0.59,3%~4%
2024-04-18,3.869905310827515,0.31708283789140257,25.31,昨日涨跌幅+3.87%，符合2%-7%区间,002138,-3.01,-4.47,-4.78,5.61,3%~4%
2024-04-29,3.5167563094745447,0.7993605115907298,25.22,昨日涨跌幅+3.52%，符合2%-7%区间,002138,3.21,5.98,5.35,1.62,3%~4%
2024-04-30,3.5171862509991936,0.07722007722008595,25.92,昨日涨跌幅+3.52%，符合2%-7%区间,002138,2.27,-0.2,2.88,0.38,3%~4%
2024-05-10,2.698535080956055,0.0,26.64,昨日涨跌幅+2.70%，符合2%-7%区间,002138,-2.68,-4.48,-2.34,-8.73,2%~3%
2024-05-31,4.8187633262260166,0.08136696501221952,24.6,昨日涨跌幅+4.82%，符合2%-7%区间,002138,0.33,2.44,4.39,12.4,4%~5%
2024-06-06,2.266288951841356,0.11871784724970524,25.3,昨日涨跌幅+2.27%，符合2%-7%区间,002138,1.5,3.4,5.69,7.59,2%~3%
2024-06-07,3.205381875741975,1.533742331288357,26.48,昨日涨跌幅+3.21%，符合2%-7%区间,002138,-2.28,-1.49,4.4,2.29,3%~4%
2024-06-17,2.484709480122316,-0.22379709063781172,26.75,昨日涨跌幅+2.48%，符合2%-7%区间,002138,4.51,1.81,1.25,-1.25,2%~3%
2024-06-18,3.394255874673635,0.721500721500723,27.92,昨日涨跌幅+3.39%，符合2%-7%区间,002138,-0.75,-2.54,-4.79,-7.26,3%~4%
2024-07-01,2.1197471178876937,0.6919155134741395,27.65,昨日涨跌幅+2.12%，符合2%-7%区间,002138,-6.36,-9.32,-11.89,-4.8,2%~3%
2024-07-12,2.931100114198704,-0.9615384615384581,26.78,昨日涨跌幅+2.93%，符合2%-7%区间,002138,-1.7,6.85,5.66,-0.39,2%~3%
2024-07-17,6.1742424242424265,1.4627185158758493,28.44,昨日涨跌幅+6.17%，符合2%-7%区间,002138,-1.26,-1.37,-7.8,-7.1,5%~7%
2024-07-18,2.3546200499464875,-2.1261763680725076,28.08,昨日涨跌幅+2.35%，符合2%-7%区间,002138,0.75,-4.3,-8.65,-8.65,2%~3%
2024-07-29,3.9642440730664585,-0.11214953271028172,26.72,昨日涨跌幅+3.96%，符合2%-7%区间,002138,-2.86,-3.99,-10.98,-8.4,3%~4%
2024-08-07,2.38893545683152,-0.12279983626688473,24.4,昨日涨跌幅+2.39%，符合2%-7%区间,002138,1.11,0.33,0.13,-0.44,2%~3%
2024-08-30,4.449152542372858,0.0,24.65,昨日涨跌幅+4.45%，符合2%-7%区间,002138,-0.12,1.38,-1.38,-4.66,4%~5%
2024-09-02,2.190669371196763,0.0,25.19,昨日涨跌幅+2.19%，符合2%-7%区间,002138,-0.99,-0.95,-3.97,-7.23,2%~3%
2024-09-27,3.296250515039145,0.917431192660545,25.3,昨日涨跌幅+3.30%，符合2%-7%区间,002138,11.22,10.51,6.56,13.75,3%~4%
2024-09-30,4.307937774232151,3.0975143403441763,26.96,昨日涨跌幅+4.31%，符合2%-7%区间,002138,9.88,4.21,5.25,8.03,4%~5%
2024-10-09,5.281814959234299,-2.3569023569023573,29.0,昨日涨跌幅+5.28%，符合2%-7%区间,002138,-3.14,-2.18,-4.21,0.1,5%~7%
2024-10-15,5.253422123566409,0.17574692442883233,28.5,昨日涨跌幅+5.25%，符合2%-7%区间,002138,-2.53,0.95,2.21,4.07,5%~7%
2024-10-21,3.442093940480473,0.6239168110918625,29.03,昨日涨跌幅+3.44%，符合2%-7%区间,002138,0.34,-1.35,1.34,2.75,3%~4%
2024-10-29,3.873239436619724,0.2711864406779618,29.58,昨日涨跌幅+3.87%，符合2%-7%区间,002138,-0.62,-3.96,7.02,10.4,3%~4%
2024-11-05,4.984204984204999,-0.10030090270812808,29.88,昨日涨跌幅+4.98%，符合2%-7%区间,002138,5.68,3.9,9.29,6.11,4%~5%
2024-11-06,6.11835506519558,-0.6616257088846833,31.53,昨日涨跌幅+6.12%，符合2%-7%区间,002138,-1.04,2.29,2.92,-0.69,5%~7%
2024-11-12,3.886925795053009,1.7316017316017174,32.9,昨日涨跌幅+3.89%，符合2%-7%区间,002138,-1.37,-5.63,-3.65,-7.09,3%~4%
2024-11-20,3.281351526965559,-0.7549543881723797,31.55,昨日涨跌幅+3.28%，符合2%-7%区间,002138,-0.41,-4.21,-0.06,-2.02,3%~4%
2024-11-28,3.131115459882583,1.7077798861479865,32.16,昨日涨跌幅+3.13%，符合2%-7%区间,002138,-3.7,-2.11,-4.6,-1.15,3%~4%
2024-12-03,3.41274951706374,0.3113325031133263,32.22,昨日涨跌幅+3.41%，符合2%-7%区间,002138,-4.07,-4.72,-2.61,-3.29,3%~4%
2024-12-20,2.909550917141046,0.0,32.54,昨日涨跌幅+2.91%，符合2%-7%区间,002138,-1.54,-2.46,0.12,-9.47,2%~3%
2024-12-27,2.7332704995287616,0.18348623853210455,32.76,昨日涨跌幅+2.73%，符合2%-7%区间,002138,-1.71,-7.7,-10.08,-9.99,2%~3%
2025-01-08,3.485617597292712,-0.9156311314584609,30.3,昨日涨跌幅+3.49%，符合2%-7%区间,002138,2.13,-2.66,-2.23,-0.08,3%~4%
2025-01-10,2.5107367030062777,-0.9345794392523477,30.74,昨日涨跌幅+2.51%，符合2%-7%区间,002138,-4.05,-3.63,-1.91,2.39,2%~3%
2025-01-15,3.2116294793779643,-0.6550933508024936,30.33,昨日涨跌幅+3.21%，符合2%-7%区间,002138,-3.05,-0.91,-0.18,2.59,3%~4%
2025-01-20,2.5432349949135347,1.157407407407418,30.59,昨日涨跌幅+2.54%，符合2%-7%区间,002138,0.01,-2.93,0.01,4.59,2%~3%
2025-01-27,5.977165883143032,0.06337135614702394,31.58,昨日涨跌幅+5.98%，符合2%-7%区间,002138,-4.24,0.26,1.3,-2.78,5%~7%
2025-02-07,2.868447082096948,1.4743589743589691,31.66,昨日涨跌幅+2.87%，符合2%-7%区间,002138,1.14,3.48,1.43,2.31,2%~3%
2025-02-13,2.4002493765586053,-0.6088280060882911,32.65,昨日涨跌幅+2.40%，符合2%-7%区间,002138,-1.66,-5.98,-2.39,-2.45,2%~3%
2025-02-20,3.1828515751867403,0.03147623544224043,31.78,昨日涨跌幅+3.18%，符合2%-7%区间,002138,1.92,-2.89,0.22,-2.8,3%~4%
2025-02-27,2.487883683360259,0.09457755359394415,31.75,昨日涨跌幅+2.49%，符合2%-7%区间,002138,-6.39,-4.94,-2.71,-4.28,2%~3%
2025-03-07,2.143092647543688,0.16139444803098257,31.03,昨日涨跌幅+2.14%，符合2%-7%区间,002138,-2.44,-2.83,2.17,-3.86,2%~3%
2025-03-17,4.297900262467191,0.2831078955646493,31.88,昨日涨跌幅+4.30%，符合2%-7%区间,002138,-1.13,-4.61,-6.4,-9.69,4%~5%
2025-04-10,2.7060782681099127,4.175111471422777,25.7,昨日涨跌幅+2.71%，符合2%-7%区间,002138,1.32,6.1,4.54,7.58,2%~3%
2025-04-11,2.229428455614091,-0.3965107057890438,25.12,昨日涨跌幅+2.23%，符合2%-7%区间,002138,5.21,7.2,8.96,10.39,2%~3%
2025-04-14,3.5289452815226108,4.404442742244363,27.26,昨日涨跌幅+3.53%，符合2%-7%区间,002138,0.01,-1.45,3.2,1.81,3%~4%
2025-04-16,3.169811320754712,-0.0731528895391298,27.32,昨日涨跌幅+3.17%，符合2%-7%区间,002138,-1.67,2.98,1.92,1.62,3%~4%
2025-04-22,2.8061224489795977,0.07089684509038463,28.23,昨日涨跌幅+2.81%，符合2%-7%区间,002138,-1.38,-1.8,-2.26,-2.02,2%~3%
2025-05-30,3.3873343151693547,-0.21367521367521292,28.02,昨日涨跌幅+3.39%，符合2%-7%区间,002138,-5.03,-2.39,-3.63,-6.92,3%~4%
2025-06-25,2.900763358778624,0.2225519287833766,27.02,昨日涨跌幅+2.90%，符合2%-7%区间,002138,1.13,3.79,1.94,5.12,2%~3%
2025-06-26,3.115727002967361,0.03597122302156919,27.81,昨日涨跌幅+3.12%，符合2%-7%区间,002138,-1.04,0.4,1.01,1.99,3%~4%
2025-07-09,3.5087719298245723,-0.3804911795226573,28.8,昨日涨跌幅+3.51%，符合2%-7%区间,002138,-1.53,-0.94,-1.04,-0.59,3%~4%
2025-07-18,2.519244226731998,0.03412969283276279,29.31,昨日涨跌幅+2.52%，符合2%-7%区间,002138,-1.17,-2.33,-3.11,-2.94,2%~3%
2025-08-06,3.4263511126810364,-0.4098360655737765,29.16,昨日涨跌幅+3.43%，符合2%-7%区间,002138,-2.03,0.61,4.56,7.3,3%~4%
2025-08-12,2.651779483600847,-0.06798096532971698,29.4,昨日涨跌幅+2.65%，符合2%-7%区间,002138,3.7,7.51,6.56,9.58,2%~3%
2025-08-14,4.655939746662097,2.845927379784108,31.44,昨日涨跌幅+4.66%，符合2%-7%区间,002138,0.52,-0.38,-0.41,3.06,4%~5%
2025-08-15,2.0281321557082066,0.8336005129849333,31.45,昨日涨跌幅+2.03%，符合2%-7%区间,002138,-0.31,-0.53,-0.44,3.31,2%~3%
2025-08-27,2.24754669199112,1.6408668730650167,32.83,昨日涨跌幅+2.25%，符合2%-7%区间,002138,-1.32,8.89,4.56,2.49,2%~3%
2025-09-04,2.440476190476182,0.43579314352120146,34.57,昨日涨跌幅+2.44%，符合2%-7%区间,002138,1.08,-4.19,5.3,-0.77,2%~3%
2025-09-08,4.192685102586968,0.0,35.04,昨日涨跌幅+4.19%，符合2%-7%区间,002138,-5.47,3.89,-2.73,2.09,4%~5%
