日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2025-10-16,2025,603267,元件,2.26,57.4,57.51,56.36,56.85,58.42,56.05,-2.0,-2.1,止损(-2%),65.5,观望
2025-10-17,2025,600188,煤炭开采加工,3.71,14.8,14.83,15.03,15.03,15.41,14.65,1.35,1.25,收盘卖出,70.8,可交易
2025-10-21,2025,603160,半导体,5.96,87.02,87.19,85.45,86.14,87.2,85.28,-2.0,-2.1,止损(-2%),77.0,可交易
2025-10-27,2025,002138,元件,6.49,41.68,41.76,42.0,42.0,43.67,41.28,0.57,0.47,收盘卖出,76.5,可交易
2025-10-28,2025,002138,元件,5.79,41.82,41.9,41.07,41.45,42.82,40.73,-2.0,-2.1,止损(-2%),79.5,可交易
2025-10-29,2025,688072,半导体,2.54,320.0,320.64,314.23,326.91,327.65,314.0,-2.0,-2.1,止损(-2%),69.5,观望
2025-11-05,2025,688072,半导体,3.19,292.0,292.58,307.21,310.2,314.5,291.0,5.0,4.9,止盈(5%),70.8,可交易
2025-11-06,2025,603228,元件,2.87,76.8,76.95,76.55,76.55,79.6,76.14,-0.52,-0.62,收盘卖出,67.0,观望
2025-11-07,2025,300285,元件,2.53,23.14,23.19,24.35,24.49,24.89,23.01,5.0,4.9,止盈(5%),65.5,观望
2025-11-14,2025,300285,元件,4.08,24.47,24.52,24.03,24.51,25.09,23.77,-2.0,-2.1,止损(-2%),69.5,观望
2025-12-01,2025,300236,电子化学品,5.47,56.95,57.06,55.92,58.8,59.8,55.8,-2.0,-2.1,止损(-2%),61.8,观望
2025-12-02,2025,002371,半导体,4.34,442.58,443.47,434.6,433.28,444.98,430.0,-2.0,-2.1,止损(-2%),67.0,观望
2025-12-04,2025,300576,电子化学品,5.12,40.76,40.84,40.02,39.64,40.95,39.54,-2.0,-2.1,止损(-2%),75.8,可交易
2025-12-05,2025,002371,半导体,3.67,445.99,446.88,450.5,450.5,455.7,445.98,0.81,0.71,收盘卖出,67.0,观望
2025-12-09,2025,688025,电子化学品,4.64,158.5,158.82,160.36,160.36,165.01,156.0,0.97,0.87,收盘卖出,72.8,可交易
2025-12-10,2025,600703,通信设备,5.49,13.84,13.87,13.9,13.9,13.98,13.73,0.23,0.13,收盘卖出,73.2,可交易
2025-12-15,2025,300346,电子化学品,4.53,44.0,44.09,46.29,47.05,48.88,43.69,5.0,4.9,止盈(5%),76.5,可交易
2025-12-16,2025,002916,元件,4.94,201.8,202.2,202.3,202.3,210.88,200.0,0.05,-0.05,收盘卖出,61.8,观望
2025-12-17,2025,603228,元件,5.55,67.92,68.06,71.46,71.9,72.82,67.69,5.0,4.9,止盈(5%),68.8,观望
2025-12-18,2025,688396,半导体,6.65,57.2,57.31,56.17,55.66,57.74,55.66,-2.0,-2.1,止损(-2%),78.2,可交易
2025-12-19,2025,688126,半导体,3.28,22.31,22.35,23.47,23.11,23.5,22.2,5.0,4.9,止盈(5%),68.8,观望
2025-12-22,2025,688126,半导体,3.4,23.6,23.65,23.74,23.74,23.99,23.3,0.39,0.29,收盘卖出,73.2,可交易
