日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,持仓时间
2025-09-08,2025,688008,半导体,5.41,110.0,110.22,109.33,109.33,112.59,108.04,-0.81,-0.91,收盘卖出,全天
2025-09-09,2025,300285,元件,6.65,23.6,23.65,23.93,23.93,24.78,23.6,1.2,1.1,收盘卖出,全天
2025-09-10,2025,300655,电子化学品,3.51,13.9,13.93,13.65,13.72,14.2,13.6,-2.0,-2.1,止损(-2%),盘中
2025-09-11,2025,688025,电子化学品,6.86,157.21,157.52,165.4,168.14,175.08,155.0,5.0,4.9,止盈(5%),盘中
2025-09-12,2025,688981,半导体,6.13,109.28,109.5,108.42,108.42,112.49,108.01,-0.98,-1.08,收盘卖出,全天
2025-09-15,2025,601138,计算机设备,4.84,60.0,60.12,58.92,59.9,61.28,58.5,-2.0,-2.1,止损(-2%),盘中
2025-09-16,2025,688041,半导体,5.22,234.07,234.54,246.27,246.0,255.96,234.0,5.0,4.9,止盈(5%),盘中
2025-09-17,2025,688041,半导体,6.26,241.57,242.05,237.21,242.69,244.97,234.55,-2.0,-2.1,止损(-2%),盘中
2025-09-19,2025,601138,计算机设备,5.3,65.64,65.77,66.1,66.1,68.63,65.0,0.5,0.4,收盘卖出,全天
2025-09-22,2025,300408,元件,6.69,48.78,48.88,49.7,49.7,51.0,48.68,1.68,1.58,收盘卖出,全天
2025-09-24,2025,300655,电子化学品,5.21,14.35,14.38,15.1,15.16,15.94,14.12,5.0,4.9,止盈(5%),盘中
2025-09-25,2025,688126,半导体,5.85,24.7,24.75,25.99,25.92,26.5,24.68,5.0,4.9,止盈(5%),盘中
2025-09-26,2025,600563,元件,4.5,124.41,124.66,123.67,123.67,125.06,122.6,-0.79,-0.89,收盘卖出,全天
2025-09-29,2025,002049,半导体,5.95,87.52,87.7,85.94,87.4,88.79,85.29,-2.0,-2.1,止损(-2%),盘中
2025-10-09,2025,300655,电子化学品,5.35,15.28,15.31,15.0,15.0,15.9,15.0,-2.0,-2.1,止损(-2%),盘中
2025-10-15,2025,600188,煤炭开采加工,2.79,14.39,14.42,14.27,14.27,14.43,14.18,-1.03,-1.13,收盘卖出,全天
2025-10-16,2025,600584,半导体,2.77,41.7,41.78,41.72,41.72,42.6,41.35,-0.15,-0.25,收盘卖出,全天
2025-10-17,2025,600188,煤炭开采加工,3.71,14.8,14.83,15.03,15.03,15.41,14.65,1.35,1.25,收盘卖出,全天
2025-10-27,2025,002138,元件,6.49,41.68,41.76,42.0,42.0,43.67,41.28,0.57,0.47,收盘卖出,全天
2025-10-28,2025,002138,元件,5.79,41.82,41.9,41.07,41.45,42.82,40.73,-2.0,-2.1,止损(-2%),盘中
2025-10-29,2025,688072,半导体,2.54,320.0,320.64,314.23,326.91,327.65,314.0,-2.0,-2.1,止损(-2%),盘中
2025-11-05,2025,688072,半导体,3.19,292.0,292.58,307.21,310.2,314.5,291.0,5.0,4.9,止盈(5%),盘中
2025-11-06,2025,603228,元件,2.87,76.8,76.95,76.55,76.55,79.6,76.14,-0.52,-0.62,收盘卖出,全天
2025-11-07,2025,300285,元件,2.53,23.14,23.19,24.35,24.49,24.89,23.01,5.0,4.9,止盈(5%),盘中
2025-11-14,2025,300285,元件,4.08,24.47,24.52,24.03,24.51,25.09,23.77,-2.0,-2.1,止损(-2%),盘中
2025-12-01,2025,300236,电子化学品,5.47,56.95,57.06,55.92,58.8,59.8,55.8,-2.0,-2.1,止损(-2%),盘中
2025-12-02,2025,002371,半导体,4.34,442.58,443.47,434.6,433.28,444.98,430.0,-2.0,-2.1,止损(-2%),盘中
2025-12-04,2025,300576,电子化学品,5.12,40.76,40.84,40.02,39.64,40.95,39.54,-2.0,-2.1,止损(-2%),盘中
2025-12-05,2025,002371,半导体,3.67,445.99,446.88,450.5,450.5,455.7,445.98,0.81,0.71,收盘卖出,全天
2025-12-09,2025,688025,电子化学品,4.64,158.5,158.82,160.36,160.36,165.01,156.0,0.97,0.87,收盘卖出,全天
2025-12-10,2025,600703,通信设备,5.49,13.84,13.87,13.9,13.9,13.98,13.73,0.23,0.13,收盘卖出,全天
2025-12-15,2025,300346,电子化学品,4.53,44.0,44.09,46.29,47.05,48.88,43.69,5.0,4.9,止盈(5%),盘中
2025-12-16,2025,002916,元件,4.94,201.8,202.2,202.3,202.3,210.88,200.0,0.05,-0.05,收盘卖出,全天
2025-12-17,2025,300782,半导体,4.62,74.0,74.15,77.86,78.78,80.7,73.6,5.0,4.9,止盈(5%),盘中
2025-12-18,2025,688396,半导体,6.65,57.2,57.31,56.17,55.66,57.74,55.66,-2.0,-2.1,止损(-2%),盘中
2025-12-23,2025,002916,元件,6.23,226.02,226.47,224.59,224.59,233.5,223.0,-0.83,-0.93,收盘卖出,全天
2025-12-24,2025,002484,元件,4.73,29.09,29.15,30.61,31.21,31.3,29.06,5.0,4.9,止盈(5%),盘中
2025-12-25,2025,002484,元件,6.7,30.81,30.87,30.25,30.42,31.04,30.16,-2.0,-2.1,止损(-2%),盘中
2025-12-29,2025,603986,半导体,2.24,225.71,226.16,227.93,227.93,234.44,225.0,0.78,0.68,收盘卖出,全天
2025-12-31,2025,688041,半导体,2.64,225.15,225.6,224.41,224.41,231.2,222.0,-0.53,-0.63,收盘卖出,全天
2026-01-06,2026,300285,元件,5.8,29.0,29.06,30.51,29.37,30.61,28.7,5.0,4.9,止盈(5%),盘中
2026-01-08,2026,688012,半导体,6.88,348.31,349.01,345.88,345.88,356.58,343.6,-0.9,-1.0,收盘卖出,全天
2026-01-09,2026,603267,元件,3.12,55.97,56.08,57.73,57.73,58.24,55.81,2.94,2.84,收盘卖出,全天
2026-01-12,2026,600584,半导体,5.64,41.98,42.06,44.17,43.68,45.28,41.98,5.0,4.9,止盈(5%),盘中
2026-01-14,2026,300408,元件,2.88,48.82,48.92,49.18,49.18,50.98,48.67,0.54,0.44,收盘卖出,全天
2026-01-20,2026,688041,半导体,4.76,261.0,261.52,256.29,254.21,273.8,253.5,-2.0,-2.1,止损(-2%),盘中
2026-01-21,2026,300346,电子化学品,3.82,61.0,61.12,59.9,61.17,63.43,59.57,-2.0,-2.1,止损(-2%),盘中
2026-01-27,2026,688396,半导体,4.69,67.57,67.71,68.19,68.19,70.2,66.4,0.72,0.62,收盘卖出,全天
2026-01-28,2026,603267,元件,6.11,60.72,60.84,59.62,60.16,61.3,59.58,-2.0,-2.1,止损(-2%),盘中
