日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2025-06-27,2025,002916,元件,4.81,103.98,104.19,109.4,107.95,111.25,102.2,5.0,4.9,止盈(5%),76.2,可交易
2025-06-30,2025,002916,元件,3.09,109.0,109.22,107.03,107.81,110.12,106.0,-2.0,-2.1,止损(-2%),73.2,可交易
2025-07-01,2025,300655,电子化学品,6.15,10.02,10.04,9.99,9.99,10.24,9.87,-0.5,-0.6,收盘卖出,81.8,可交易
2025-07-04,2025,603228,元件,5.06,44.09,44.18,46.39,46.58,47.5,43.61,5.0,4.9,止盈(5%),70.5,可交易
2025-07-07,2025,601138,计算机设备,2.28,23.8,23.85,23.37,23.98,24.33,23.34,-2.0,-2.1,止损(-2%),73.8,可交易
2025-07-09,2025,300655,电子化学品,3.21,9.9,9.92,9.72,9.75,9.92,9.72,-2.0,-2.1,止损(-2%),76.5,可交易
2025-07-11,2025,300285,元件,2.78,18.5,18.54,18.25,18.25,18.56,18.19,-1.55,-1.65,收盘卖出,70.8,可交易
2025-07-15,2025,002916,元件,5.52,124.3,124.55,130.78,131.96,132.27,124.3,5.0,4.9,止盈(5%),71.8,可交易
2025-07-16,2025,688008,半导体,3.13,85.75,85.92,84.96,84.96,87.97,84.68,-1.12,-1.22,收盘卖出,77.0,可交易
2025-07-18,2025,002484,元件,4.5,22.3,22.34,23.46,22.78,23.49,22.21,5.0,4.9,止盈(5%),81.8,可交易
2025-07-21,2025,600745,通信设备,5.53,37.05,37.12,37.12,37.12,37.49,36.8,-0.01,-0.11,收盘卖出,80.5,可交易
2025-07-23,2025,300285,元件,3.24,18.78,18.82,18.44,18.24,18.85,18.23,-2.0,-2.1,止损(-2%),79.5,可交易
2025-07-24,2025,688012,半导体,5.87,198.26,198.66,199.02,199.02,199.9,196.03,0.18,0.08,收盘卖出,80.5,可交易
2025-07-25,2025,300236,电子化学品,4.14,41.0,41.08,42.4,42.4,42.46,40.9,3.21,3.11,收盘卖出,80.5,可交易
2025-07-28,2025,300236,电子化学品,4.1,42.78,42.87,43.01,43.01,43.38,42.2,0.34,0.24,收盘卖出,81.8,可交易
2025-07-29,2025,300285,元件,3.56,18.8,18.84,19.03,19.03,19.28,18.56,1.02,0.92,收盘卖出,80.5,可交易
2025-08-04,2025,300661,半导体,5.24,74.36,74.51,78.23,76.12,78.8,74.15,5.0,4.9,止盈(5%),75.2,可交易
2025-08-07,2025,688041,半导体,4.75,156.91,157.22,155.05,155.05,160.3,154.14,-1.38,-1.48,收盘卖出,71.8,可交易
2025-08-08,2025,300655,电子化学品,2.15,10.81,10.83,10.61,10.58,10.98,10.55,-2.0,-2.1,止损(-2%),72.5,可交易
2025-08-11,2025,603160,半导体,4.6,83.12,83.29,82.7,82.7,84.97,82.18,-0.7,-0.8,收盘卖出,80.5,可交易
2025-08-13,2025,300655,电子化学品,3.99,11.1,11.12,11.33,11.33,11.57,11.1,1.87,1.77,收盘卖出,77.5,可交易
2025-08-14,2025,002138,元件,4.66,31.44,31.5,31.19,31.19,32.15,31.05,-0.99,-1.09,收盘卖出,79.5,可交易
2025-08-15,2025,300408,元件,3.3,42.05,42.13,42.63,42.63,43.7,41.79,1.18,1.08,收盘卖出,78.2,可交易
2025-08-19,2025,002049,半导体,4.42,83.0,83.17,82.2,82.2,86.77,81.97,-1.16,-1.26,收盘卖出,77.8,可交易
2025-08-20,2025,688126,半导体,2.62,21.68,21.72,21.75,21.75,22.5,21.31,0.12,0.02,收盘卖出,71.8,可交易
2025-08-22,2025,600584,半导体,4.09,40.23,40.31,39.5,39.9,40.77,39.46,-2.0,-2.1,止损(-2%),72.8,可交易
2025-08-25,2025,300782,半导体,5.89,84.73,84.9,84.45,84.45,87.08,83.58,-0.53,-0.63,收盘卖出,81.8,可交易
2025-08-26,2025,603267,元件,6.66,61.65,61.77,60.95,60.95,62.3,60.64,-1.33,-1.43,收盘卖出,81.8,可交易
2025-08-27,2025,688072,半导体,4.83,192.0,192.38,188.54,188.05,200.5,188.01,-2.0,-2.1,止损(-2%),77.8,可交易
2025-08-28,2025,688008,半导体,4.44,109.0,109.22,114.68,117.5,117.71,109.0,5.0,4.9,止盈(5%),71.5,可交易
2025-09-01,2025,300285,元件,4.28,22.89,22.94,22.85,22.85,23.37,22.66,-0.37,-0.47,收盘卖出,71.8,可交易
2025-09-08,2025,603986,半导体,3.62,161.93,162.25,163.83,163.83,169.0,159.15,0.97,0.87,收盘卖出,72.8,可交易
2025-09-09,2025,300285,元件,6.65,23.6,23.65,23.93,23.93,24.78,23.6,1.2,1.1,收盘卖出,70.8,可交易
2025-09-11,2025,688126,半导体,5.85,24.7,24.75,25.99,25.92,26.5,24.68,5.0,4.9,止盈(5%),81.5,可交易
2025-09-18,2025,600584,半导体,5.1,41.23,41.31,43.38,42.82,44.49,40.88,5.0,4.9,止盈(5%),80.5,可交易
2025-09-19,2025,600584,半导体,3.93,42.4,42.48,41.64,41.33,43.2,41.3,-2.0,-2.1,止损(-2%),81.8,可交易
2025-09-22,2025,300408,元件,6.69,48.78,48.88,49.7,49.7,51.0,48.68,1.68,1.58,收盘卖出,82.8,可交易
2025-09-24,2025,300398,电子化学品,4.59,25.08,25.13,26.39,26.69,28.0,25.0,5.0,4.9,止盈(5%),78.5,可交易
